Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Velocity x (m/s),Velocity y (m/s),Velocity z (m/s),Position x (m),Position y (m),Position z (m)
181.2026762,-8.228380013876468,-5.833083151470593,-10.551200368676113,14.87407605646712,-293.6281263687635,38.35413300296999,-121.25230798205253,-8975.02839529573,1576.8117457490002,-4135.124955616363
181.2077122,-8.234113478414542,-5.838200731803546,-10.546485340555414,14.880458289513303,-293.6695644905133,38.32475759621924,-121.30544382710907,-8976.507210881311,1577.0048231955286,-4135.735716035417
181.2127482,-8.239779033098486,-5.843329935900867,-10.541467949736907,14.886677216750801,-293.71103148599053,38.29535641733394,-121.358555927284,-8977.986235221977,1577.1977526426144,-4136.346743986797
181.2177842,-8.245391080968492,-5.8484701476568395,-10.536155732248881,14.892742529018456,-293.75252701320136,38.26592940777664,-121.41164275987907,-8979.465468462284,1577.3905339603227,-4136.958039347094
181.2228201,-8.250962137620675,-5.853619892516569,-10.530553174174097,14.898659933380404,-293.79404997814595,38.23647709696008,-121.46470178653107,-8980.944881365818,1577.583163194781,-4137.569589838844
181.2278561,-8.256503228796273,-5.858777277604171,-10.524662467083994,14.904432110372877,-293.83560182347094,38.206998267181426,-121.5177336523161,-8982.42453282905,1577.7756478657475,-4138.181419611277
181.2328921,-8.26202558228976,-5.8639402994358845,-10.518484381226024,14.91006060963355,-293.8771815737311,38.17749346481147,-121.57073585250022,-8983.90439361764,1577.967984015928,-4138.793516377489
181.2379281,-8.267542973442222,-5.869106584692411,-10.512019054459406,14.91554800511268,-293.91878913456367,38.1479626614634,-121.62370693984427,-8985.38446387189,1578.1601715144548,-4139.405879984442
181.242964,-8.273073537895467,-5.874272655541636,-10.505266558783601,14.920899429442116,-293.9604236542236,38.11840642761358,-121.67664441660058,-8986.864714335728,1578.3522064185024,-4140.01849810414
181.248,-8.278640155665318,-5.879433272984251,-10.498227095954842,14.926122857622547,-294.00208685256035,38.08882359052033,-121.7295489389905,-8988.34520393718,1578.5440962236878,-4140.631394899008
181.253036,-8.284269432852442,-5.884581319915351,-10.490900752092521,14.931228188859562,-294.0437780843844,38.059214764557474,-121.78241801064593,-8989.825903425097,1578.7358369842666,-4141.244558031789
181.258072,-8.289989916813692,-5.88970816682481,-10.483287068896159,14.936225736824147,-294.08549766524817,38.02958001303044,-121.83525018683336,-8991.306812941431,1578.9274285695162,-4141.857987320309
181.2631079,-8.295830234479267,-5.894804114895062,-10.475384781306323,14.941124786421122,-294.12724522547023,37.99992003167315,-121.88804297218357,-8992.787903217393,1579.1188670491536,-4142.471670386318
181.2681439,-8.30181765972949,-5.899858557301898,-10.46719170873569,14.945932516552956,-294.16902302653125,37.97023379815043,-121.94079700994241,-8994.269233220857,1579.310159896498,-4143.085631405395
181.2731799,-8.30797728127471,-5.904859675175898,-10.458704651702458,14.950653269793639,-294.21083098026554,37.940522110455916,-121.9935097873875,-8995.750773693244,1579.5013031798753,-4143.69985798991
181.2782158,-8.314331614261224,-5.909793721313669,-10.449919480016332,14.955288191643833,-294.25266912305625,37.91078582761772,-122.04617877814296,-8997.232495363327,1579.6922929806979,-4144.314337723733
181.2832518,-8.320900341503528,-5.91464419497021,-10.440831619175636,14.959835255777438,-294.2945400970656,37.881024106437245,-122.09880457264421,-8998.71445723614,1579.8831367581113,-4144.92909479181
181.2882878,-8.327699959081796,-5.919391257854503,-10.431436772141272,14.96428951194267,-294.33644415118556,37.85123795827127,-122.15138460067857,-9000.196630054481,1580.073830593991,-4145.54411676815
181.2933237,-8.33474331044641,-5.924011633515078,-10.421731671888413,14.968643441984636,-294.37838161540947,37.82142849583587,-122.20391627311935,-9001.678984550019,1580.264370584489,-4146.159391197984
181.2983597,-8.342039026879906,-5.928479105562466,-10.411714801064786,14.972887396078827,-294.4203553827208,37.79159517324955,-122.25640011381887,-9003.161579769776,1580.4547641780873,-4146.774942274645
181.3033957,-8.349590894499123,-5.932765496298071,-10.401386837433087,14.977009901831794,-294.46236589126033,37.761739352473825,-122.30883350955722,-9004.64438646195,1580.645007474424,-4147.39075753291
181.3084317,-8.357397404656016,-5.936841728323802,-10.390750387741146,14.980997514801699,-294.50441443100493,37.73186194543453,-122.36121489367042,-9006.127404814799,1580.8351003624916,-4148.006836714788
181.3134676,-8.365451823788367,-5.940678626479417,-10.379809002778888,14.984834263766839,-294.546501448595,37.70196460417489,-122.413541673548,-9007.610605568436,1581.025038966052,-4148.623167313086
181.3185036,-8.373742766571622,-5.9442474958467315,-10.368566182728006,14.988501294950641,-294.58862986397975,37.67204734661183,-122.46581439168618,-9009.094047829085,1581.214830728145,-4149.239773531661
181.3235396,-8.38225496719486,-5.947520694278877,-10.357025002993717,14.991977177774038,-294.63080003255214,37.64211211622281,-122.5180304909823,-9010.577702353561,1581.4044717816719,-4149.856642853075
181.3285756,-8.390970017114698,-5.950472258821328,-10.345188240333101,14.995238670518289,-294.67301306856683,37.61216040200648,-122.57018846889727,-9012.061569354946,1581.5939620398724,-4150.473774988414
181.3336115,-8.399867021998965,-5.9530785101248,-10.333058586299797,14.998261537123716,-294.715269154476,37.582194418758306,-122.62228580235671,-9013.545619580167,1581.7832976655932,-4151.091157379005
181.3386475,-8.408923279628965,-5.955318659490268,-10.320638948796455,15.001021456001274,-294.75757088479895,37.55221471538121,-122.6743230853975,-9015.029912191392,1581.9724861077937,-4151.708814240187
181.3436835,-8.418115186928372,-5.957175594263208,-10.307933221759232,15.003495474144778,-294.79991822243505,37.522223730612076,-122.72629782314354,-9016.514417948962,1582.1615235438003,-4152.326733003633
181.3487195,-8.427419543222353,-5.958636990487582,-10.29494767807214,15.005664268923699,-294.84231185051635,37.492223394319424,-122.77820857484821,-9017.999137084282,1582.3504099216605,-4152.944913350742
181.3537554,-8.436815354239684,-5.959696767543746,-10.281692532539502,15.007514982049894,-294.88475149259426,37.462216294298884,-122.83005290186045,-9019.484040343434,1582.5391414530754,-4153.563342672731
181.3587914,-8.446287224717217,-5.960357425162929,-10.268182703719377,15.009045198528321,-294.9272392947181,37.432203261377595,-122.88183150545422,-9020.969186936232,1582.727725601516,-4154.182045197667
181.3638274,-8.455830691846938,-5.960633638195685,-10.254437204307076,15.010268407959614,-294.9697747971817,37.40218690138453,-122.93354207355004,-9022.454547617714,1582.9161585959455,-4154.801008308338
181.3688633,-8.465453942349967,-5.960554149624322,-10.240478281011153,15.011216320831661,-295.01235751496273,37.37216974644597,-122.98518239386718,-9023.940093127769,1583.1044366872668,-4155.420219360611
181.3738993,-8.475171057715908,-5.9601587724652,-10.226331332629023,15.011933611896925,-295.05498954101654,37.34215239574835,-123.03675344249054,-9025.425882707661,1583.2925673504215,-4156.039702595049
181.3789353,-8.484993777568217,-5.959493733598046,-10.212024154510637,15.012470014248052,-295.09767050246313,37.31213703617028,-123.08825324708155,-9026.911887105649,1583.4805468512106,-4156.659445361892
181.3839712,-8.494930060504064,-5.958609748332384,-10.197584798751071,15.012876422527222,-295.14040008262754,37.282125621677274,-123.1396799795212,-9028.398077055477,1583.66837147487,-4157.27943498636
181.3890072,-8.504986538315414,-5.957561457810318,-10.183040148689052,15.01320421066767,-295.1831805504124,37.252118062984565,-123.1910350165679,-9029.884511831517,1583.8560487004684,-4157.899695726722
181.3940432,-8.515169429879307,-5.956405878950899,-10.168416194073162,15.013504551102317,-295.22601166261927,37.22211578348309,-123.24231680675659,-9031.371162177506,1584.0435748212935,-4158.520214906612
181.3990792,-8.525483922745758,-5.9552003780435,-10.153738734126463,15.013827248316948,-295.26889405586803,37.19211932347675,-123.29352495070984,-9032.858028350101,1584.2309498652924,-4159.140992156155
181.4041151,-8.535934114563263,-5.9540011590503,-10.139033537446661,15.014220011781601,-295.3118275403548,37.162129529892816,-123.34465816360127,-9034.34508107805,1584.4181701461937,-4159.762014769331
181.4091511,-8.546524206572624,-5.952862370411216,-10.124325976938264,15.014728534185437,-295.35481450455563,37.1321451800559,-123.39571833649575,-9035.832379682717,1584.605243129913,-4160.383307037357
181.4141871,-8.55725989166751,-5.951835449404114,-10.109640653191589,15.015396853902699,-295.39785480045987,37.10216656515857,-123.4467044421155,-9037.319894904023,1584.792165126887,-4161.004856257912
181.4192231,-8.568148951963973,-5.95096840974505,-10.095001427252331,15.016267524796667,-295.4409491612745,37.07219312183526,-123.49761659244515,-9038.807627012404,1584.9789361645796,-4161.626662058279
181.424259,-8.579201417551996,-5.95030505856197,-10.08043161898606,15.017381652558782,-295.4840975025817,37.04222464002065,-123.54845401013262,-9040.29554673365,1585.165552562783,-4162.248711711753
181.429295,-8.590429425946985,-5.949884114983099,-10.065953827566148,15.018778510491462,-295.5273023609204,37.01225890374579,-123.59921906376573,-9041.783713438503,1585.352021752346,-4162.871029552552
181.434331,-8.601846215291586,-5.949738391382433,-10.051589212326249,15.020494228760667,-295.57056376350937,36.982295287342794,-123.64991120724125,-9043.272097865402,1585.5383400397989,-4163.4936028625725
181.439367,-8.613464679590598,-5.949894614919279,-10.037356510831309,15.022560172034543,-295.61388266104973,36.952332404803684,-123.70053101051471,-9044.760700301504,1585.7245074323284,-4164.116431276079
181.444403,-8.625296513093359,-5.950374151833602,-10.023271225073852,15.02500210962584,-295.65726006917606,36.92236873552301,-123.75107913790315,-9046.249521038895,1585.9105239297994,-4164.739514430432
181.4494389,-8.637351937168386,-5.951194151898216,-10.00934517955333,15.027840197865896,-295.7006961998863,36.89240324633182,-123.80155532946546,-9047.738530804882,1586.096385834911,-4165.362839586389
181.4544749,-8.649639527196658,-5.952368478121498,-9.995586288388324,15.03108913549115,-295.744193904242,36.86243303258275,-123.85196239178987,-9049.22778903817,1586.282100512662,-4165.986431144013
181.4595109,-8.662166130310563,-5.953908146640415,-9.981998488431636,15.034758315071088,-295.7877534889009,36.83245690492699,-123.90230016433809,-9050.717266481704,1586.4676642455245,-4166.610276377129
181.4645468,-8.674936957268038,-5.955821389924021,-9.968582068514696,15.038852153009675,-295.8313752913165,36.80247361889135,-123.95256851052594,-9052.206933867015,1586.6530733188367,-4167.234362543708
181.4695828,-8.687955754685742,-5.958113617720304,-9.955334393863348,15.043370636620487,-295.87506227383346,36.77248010237158,-124.00277028982316,-9053.69685067681,1586.8383350523075,-4167.858714086809
181.4746188,-8.701225084330748,-5.960787426623259,-9.942250795264844,15.04831007047331,-295.91881481901396,36.7424750421928,-124.05290535383055,-9055.186987659326,1587.023445709361,-4168.4833182780785
181.4796547,-8.71474680798471,-5.963842636244233,-9.929325541361564,15.053664059193128,-295.9626333184161,36.71245711279109,-124.10297353461038,-9056.677315551662,1587.2084015557805,-4169.108162373325
181.4846907,-8.728522635945511,-5.967276216562842,-9.916552835712833,15.05942454882883,-296.00652078334105,36.68242320127503,-124.15297761803659,-9058.167893881688,1587.393209864411,-4169.733270858326
181.4897267,-8.742554461896344,-5.971081869429245,-9.903927698937963,15.065582601684095,-296.05047762333584,36.652371998248306,-124.20291737811742,-9059.65869340368,1587.577866878724,-4170.358631001928
181.4947626,-8.756844467979157,-5.975249373039402,-9.891446738819287,15.072128935140627,-296.09450425335046,36.62230222706207,-124.25279256761645,-9061.149684860795,1587.7623688446895,-4170.984230056785
181.4997986,-8.771395220458755,-5.9797644695846195,-9.87910875865624,15.079054465845331,-296.1386037220911,36.59221087121951,-124.30260589339305,-9062.640927826673,1587.9467229886704,-4171.610092550109
181.5048346,-8.786209544291529,-5.98460960349157,-9.866914914565166,15.086350540087201,-296.1827764684215,36.56209677735057,-124.35235708510183,-9064.132393061998,1588.13092553533,-4172.236205746891
181.5098706,-8.801289578878727,-5.98976473584699,-9.854868228759218,15.09400818860618,-296.22702381968645,36.531958283387446,-124.40204686861148,-9065.62408093912,1588.3149763659726,-4172.862569336045
181.5149065,-8.81663524428787,-5.995207847333389,-9.84297261483376,15.102016626547242,-296.27134623387667,36.50179442715422,-124.45167499952464,-9067.115962209995,1588.4988717036101,-4173.4891705650225
181.5199425,-8.83224321493532,-6.000915458141094,-9.831231939377686,15.11036213481625,-296.31574680896705,36.471602560434945,-124.50124420961312,-9068.608096510281,1588.6826187172255,-4174.116034015594
181.5249785,-8.848106957414142,-6.006863121180439,-9.819649581009925,15.119027957037071,-296.3602259857974,36.44138195018781,-124.55075429365972,-9070.100454609774,1588.866213612223,-4174.743146947823
181.5300145,-8.864217469456204,-6.013025599062542,-9.808228362083627,15.12799481030775,-296.4047850524349,36.411131387509606,-124.60020604894959,-9071.593036907565,1589.0496562408068,-4175.370509065965
181.5350505,-8.880564189409068,-6.019376774183508,-9.796970596215843,15.137241513032524,-296.4494252516112,36.38084979059262,-124.64960028698123,-9073.085843809115,1589.232946449414,-4175.99812007832
181.5400864,-8.897135821485158,-6.0258896759945975,-9.785878464285691,15.146745830363098,-296.4941468848126,36.35053681109554,-124.69893685120667,-9074.578846076574,1589.4160804443077,-4176.625967227407
181.5451224,-8.913921044343356,-6.032536977124477,-9.774954954464448,15.156485781261233,-296.5389528608095,36.32019043068729,-124.74821853515272,-9076.072103421731,1589.5990653355022,-4177.254075164668
181.5501584,-8.93090905564066,-6.039291903401802,-9.764205018645406,15.166441125158176,-296.5838433671887,36.28981057447055,-124.7974452083033,-9077.56558662263,1589.7818973180329,-4177.882431145973
181.5551944,-8.948089876146831,-6.046129296531127,-9.753636336866712,15.176594494156634,-296.62881942519306,36.25939670044491,-124.84661774477738,-9079.059296107547,1589.9645762219518,-4178.511034896491
181.5602303,-8.965454557940168,-6.053026681136325,-9.743259542371856,15.18693211872176,-296.6738811110003,36.22894899792053,-124.89573608200617,-9080.55320264236,1590.1470982520027,-4179.139873656308
181.5652663,-8.982995541873914,-6.059965199412701,-9.733088178197464,15.19744443167502,-296.719031140154,36.19846595555439,-124.94480313706146,-9082.047365995406,1590.3294704828552,-4179.76897213406
181.5703023,-9.000707275890635,-6.066930321436182,-9.723138433376764,15.208126629621775,-296.76426950570306,36.16794797081004,-124.99381896912703,-9083.541756946437,1590.5116891131224,-4180.398317584526
181.5753382,-9.018587022769793,-6.073912387927937,-9.713428583791758,15.218979129037582,-296.80959616747367,36.13739551640435,-125.04278372196363,-9085.036346261508,1590.693750352756,-4181.027897248272
181.5803742,-9.036635284130815,-6.080906781562788,-9.703978471709382,15.2300076343607,-296.8550137717202,36.1068072936188,-125.09170054831151,-9086.531193749332,1590.8756612554314,-4181.657735879664
181.5854102,-9.054855355864728,-6.087913222083698,-9.694809171911144,15.24122234370946,-296.9005222670113,36.07618384706674,-125.14056978389522,-9088.026270189082,1591.0574180271242,-4182.287820736363
181.5904461,-9.073252550195303,-6.094934185597539,-9.685942314161798,15.252636336495328,-296.94612161309783,36.04552572487167,-125.189391873404,-9089.521546346039,1591.2390168857407,-4182.9181390633175
181.5954821,-9.091833491464698,-6.101973146759388,-9.677398986602892,15.26426368757252,-296.9918145129405,36.01483163631307,-125.23817027889802,-9091.0170820692,1591.420464865576,-4183.548715664816
181.6005181,-9.110605168545582,-6.109033306012985,-9.669198898766064,15.276117789152687,-297.0376009864034,35.98410209954605,-125.28690566019446,-9092.512848137425,1591.6017581807223,-4184.179537806029
181.605554,-9.129574033323616,-6.116117016846395,-9.661359850698755,15.288210201738469,-297.0834810829719,35.95333761872015,-125.335598778929,-9094.008815316029,1591.7828930570618,-4184.810592741084
181.61059,-9.148745729584775,-6.123225806371993,-9.653896773885506,15.300549991315673,-297.1294576178036,35.922536853423374,-125.38425338713702,-9095.505043495674,1591.9638765089824,-4185.441905328837
181.615626,-9.16812519392912,-6.130360672448905,-9.646820122254901,15.313143178085292,-297.1755307012977,35.89170028826255,-125.43287041129021,-9097.001503456258,1592.1447047581048,-4186.07346284656
181.620662,-9.187716553528174,-6.137522294439948,-9.640134314734933,15.325992115128827,-297.2217013797745,35.86082779191598,-125.48145179742606,-9098.498195686643,1592.3253776238114,-4186.705265109884
181.625698,-9.207522704463138,-6.144711036135943,-9.633837027045706,15.339094944623568,-297.267970720338,35.82991922964124,-125.52999951383497,-9099.99512068099,1592.5058949248114,-4187.337311944285
